seed,arm,step,L_total,L_struct,L_LM,p_max_mean,dt_step,dt_struct,dt_lm,dt_grad_total
230,logit,0,9.2597,9.3368,-0.0772,0.7869,280.13,59.83,33.19,136.91
230,logit,1,9.2549,9.332,-0.0772,0.787,150.41,19.3,15.18,81.19
230,logit,2,9.2504,9.3276,-0.0771,0.787,152.7,19.93,15.78,81.38
230,logit,3,9.2457,9.3229,-0.0771,0.7871,152.03,19.76,15.24,81.68
230,logit,4,9.2392,9.3163,-0.0771,0.7871,152.44,19.68,15.73,81.6
230,logit,5,9.2336,9.3107,-0.0771,0.7872,153.43,20.4,15.82,81.5
230,logit,6,9.2271,9.3042,-0.0771,0.7872,151.97,20.0,15.48,81.1
230,logit,7,9.2203,9.2973,-0.0771,0.7873,152.97,20.0,15.68,81.92
230,logit,8,9.2136,9.2907,-0.0771,0.7873,151.65,19.84,15.48,80.83
230,logit,9,9.2062,9.2832,-0.077,0.7874,152.0,20.53,15.5,80.65
230,logit,10,9.1967,9.2737,-0.077,0.7875,166.65,19.77,15.34,80.65
230,logit,11,9.1862,9.2632,-0.077,0.7876,151.22,20.18,15.64,79.99
230,logit,12,9.1765,9.2535,-0.077,0.7877,151.55,20.04,15.18,80.97
230,logit,13,9.1668,9.2437,-0.077,0.7878,151.1,20.13,15.76,80.1
230,logit,14,9.1554,9.2323,-0.0769,0.7879,152.57,20.19,15.85,80.92
230,logit,15,9.1447,9.2216,-0.0769,0.788,152.1,20.25,15.6,80.81
230,logit,16,9.1349,9.2118,-0.0769,0.7882,152.05,20.31,15.31,80.64
230,logit,17,9.1232,9.2,-0.0769,0.7883,151.87,20.09,15.73,80.77
230,logit,18,9.111,9.1878,-0.0768,0.7885,151.43,20.01,15.63,80.31
230,logit,19,9.1012,9.178,-0.0768,0.7886,152.07,20.14,15.64,80.82
230,logit,20,9.0916,9.1684,-0.0768,0.7888,167.93,20.22,15.71,80.58
230,logit,21,9.0804,9.1571,-0.0768,0.7889,152.04,20.12,15.69,80.48
230,logit,22,9.0724,9.1491,-0.0767,0.789,151.3,19.65,15.54,81.04
230,logit,23,9.0633,9.14,-0.0767,0.7892,151.47,19.68,15.56,80.44
230,logit,24,9.0552,9.132,-0.0767,0.7893,151.65,20.25,15.72,80.27
230,logit,25,9.0472,9.1239,-0.0767,0.7894,151.86,19.92,15.63,80.73
230,logit,26,9.0394,9.1161,-0.0767,0.7896,152.19,20.03,15.88,80.81
230,logit,27,9.0331,9.1098,-0.0767,0.7897,152.03,20.02,15.63,81.45
230,logit,28,9.0254,9.1021,-0.0766,0.7898,152.49,20.14,15.91,80.68
230,logit,29,9.0196,9.0962,-0.0766,0.7899,151.99,20.24,15.7,80.11
230,logit,30,9.0132,9.0898,-0.0766,0.79,168.65,20.25,15.79,80.89
230,logit,31,9.007,9.0836,-0.0766,0.7901,151.11,20.04,15.43,80.73
230,logit,32,9.0021,9.0787,-0.0766,0.7903,152.81,19.9,15.77,81.24
230,logit,33,8.996,9.0725,-0.0766,0.7904,151.1,19.88,15.96,80.23
230,logit,34,8.9917,9.0683,-0.0765,0.7905,151.65,19.89,15.72,80.38
230,logit,35,8.9871,9.0636,-0.0765,0.7906,151.6,20.0,15.61,80.48
230,logit,36,8.9821,9.0586,-0.0765,0.7907,151.56,20.11,15.59,80.32
230,logit,37,8.9783,9.0548,-0.0765,0.7908,152.01,19.92,15.57,80.84
230,logit,38,8.9736,9.0501,-0.0765,0.7908,150.68,19.69,15.51,80.39
230,logit,39,8.9699,9.0464,-0.0765,0.7909,151.91,19.97,15.43,80.82
230,logit,40,8.9658,9.0423,-0.0765,0.791,168.84,20.2,15.72,81.1
230,logit,41,8.9626,9.039,-0.0765,0.7911,151.33,19.54,15.63,80.77
230,logit,42,8.959,9.0354,-0.0765,0.7912,149.92,19.87,15.39,80.04
230,logit,43,8.9549,9.0313,-0.0764,0.7913,151.63,20.21,15.61,80.1
230,logit,44,8.9525,9.029,-0.0764,0.7913,151.83,20.09,15.93,80.42
230,logit,45,8.9486,9.0251,-0.0764,0.7914,152.8,20.05,15.69,81.1
230,logit,46,8.9454,9.0218,-0.0764,0.7915,152.77,20.25,15.72,81.19
230,logit,47,8.9428,9.0192,-0.0764,0.7916,151.89,20.05,15.78,80.35
230,logit,48,8.9405,9.0169,-0.0764,0.7916,152.72,20.49,15.74,80.96
230,logit,49,8.9372,9.0136,-0.0764,0.7917,151.35,19.52,15.26,81.01
230,logit,50,8.934,9.0104,-0.0764,0.7918,168.0,20.21,15.86,80.48
230,logit,51,8.932,9.0084,-0.0764,0.7918,152.22,20.14,15.66,80.94
230,logit,52,8.9276,9.0039,-0.0764,0.7919,151.78,20.09,15.72,80.56
230,logit,53,8.9259,9.0023,-0.0764,0.7919,151.57,19.84,15.71,80.54
230,logit,54,8.9232,8.9996,-0.0763,0.792,152.63,20.5,15.93,80.78
